sk_ato,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
78333,21925,290185,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"Sob os critérios desta Comissão de Assuntos Sociais, somos, pela APROVAÇÃO do Projeto de Decreto Legislativo nº 188/2024, de autoria do nobre deputado WELLINGTON LUIZ, por tratar-se de justa e honrosa homenagem a um ilustre cidadão com relevantes serviços prestados ao Distrito Federal.",parecer_autor
78334,21975,290415,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1328/2024.",parecer_autor
78335,21976,291205,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"Assim, o voto é pela APROVAÇÃO do Projeto de Lei n° 1319/2024.",parecer_autor
78336,21980,307666,GAB DEP GABRIEL MAGNO,Não apreciado(a),merito_contrario,"III - CONCLUSÕES Ante o exposto, no âmbito da Comissão de Educação e Cultura, manifestamos votos pela rejeição, no mérito, do Projeto de Lei nº 1327/2024.",parecer_autor
78337,22009,305153,GAB DEP MARTINS MACHADO,Aprovado(a),merito_favoravel,"III - Conclusão Diante do exposto, o voto é pela APROVAÇÃO do Projeto de Lei n° 1322/2024.",parecer_autor
78338,22009,284213,GAB DEP ROGÉRIO MORRO DA CRUZ,Aprovado(a),sem_clausula,,parecer_autor
78339,22017,291888,GAB DEP JAQUELINE SILVA,Não apreciado(a),admissivel,"Assim, no âmbito da CEOF, vota-se pela admissibilidade do PLC nº 59/2024, conforme o art. 65, I e III, “c”, do RICLDF.",parecer_autor
78340,22028,305152,GAB DEP MARTINS MACHADO,Não apreciado(a),merito_favoravel,"por tratar-se de iniciativa que visa garantir direitos sociais essenciais, promover a saúde pública e o bem-estar animal, alinhando-se aos princípios constitucionais e às necessidades da população do Distrito Federal, o voto é pela APROVAÇÃO dos Projetos de Lei nº 1.324, de 2024, e nº 1.380, de 2024, na forma do Substitutivo aprovado na Comissão de Desenvolvimento Econômico Sustentável, Ciência, Tecnologia, Meio Ambiente e Turismo.",parecer_autor
78341,22082,309186,GAB DEP CHICO VIGILANTE,Não apreciado(a),admissivel_com_ressalva,"III - CONCLUSÕES Diante do exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Lei nº 1.334/2024 no âmbito da Comissão de Constituição e Justiça, na forma do substitutivo aprovado na Comissão de Educação e Cultura - CEC.",parecer_autor
78342,22082,291696,GAB DEP THIAGO MANZONI,Aprovado(a),merito_favoravel,"Diante do exposto, manifestamos voto pela APROVAÇÃO do Projeto de Lei nº 1334/2024 no âmbito da CEC, na forma do substitutivo anexo.",parecer_autor
78343,22119,313874,GAB DEP JAQUELINE SILVA,Aprovado(a),admissivel,"Assim, no âmbito da CEOF, vota-se pela admissibilidade do PL nº 1.336/2024, conforme o art. 65, I, do RICLDF.",parecer_autor
