sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave
74,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5708,api_i5,,autor_id
75,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5711,api_i5,,autor_id
76,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5712,api_i5,,autor_id
77,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5721,api_i5,,autor_id
78,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5729,api_i5,,autor_id
79,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-03,2022,32,8,5740,api_i5,,autor_id
80,25,Deputado João Cardoso ,AVANTE,1,apresentou uma proposição,2022-02-03,2022,32,8,5740,api_i5,,autor_id
81,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-03,2022,32,8,5740,api_i5,,autor_id
82,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-02-03,2022,32,8,5740,api_i5,,autor_id
83,53,Deputado Janio Farias Marques (Guarda Janio),,1,apresentou uma proposição,2022-02-03,2022,32,8,5740,api_i5,,autor_id
84,20,Deputado Fábio Felix,PSOL,1,apresentou uma proposição,2022-04-05,2022,32,8,5741,api_i5,,autor_id
85,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-03-17,2022,32,8,5746,api_i5,,autor_id
86,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5757,api_i5,,autor_id
87,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5759,api_i5,,autor_id
88,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5786,api_i5,,autor_id
89,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5788,api_i5,,autor_id
90,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5791,api_i5,,autor_id
91,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5794,api_i5,,autor_id
92,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,5795,api_i5,,autor_id
93,17,Deputado Daniel Donizet,MDB,1,apresentou uma proposição,2022-02-08,2022,32,8,5826,api_i5,,autor_id
94,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5854,api_i5,,autor_id
95,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5857,api_i5,,autor_id
96,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5858,api_i5,,autor_id
97,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5864,api_i5,,autor_id
98,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5870,api_i5,,autor_id
99,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-01,2022,32,8,5872,api_i5,,autor_id
100,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5874,api_i5,,autor_id
101,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5877,api_i5,,autor_id
102,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-16,2022,32,8,5892,api_i5,,autor_id
103,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,5968,api_i5,,autor_id
104,16,Deputado Claudio Abrantes,,1,apresentou uma proposição,2022-02-01,2022,32,8,6003,api_i5,,autor_id
105,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6003,api_i5,,autor_id
106,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,6003,api_i5,,autor_id
107,32,Deputado Professor Reginaldo Veras,,1,apresentou uma proposição,2022-02-01,2022,32,8,6003,api_i5,,autor_id
108,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,6008,api_i5,,autor_id
109,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,6010,api_i5,,autor_id
110,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6015,api_i5,,autor_id
111,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,6016,api_i5,,autor_id
112,16,Deputado Claudio Abrantes,,1,apresentou uma proposição,2022-02-02,2022,32,8,6017,api_i5,,autor_id
113,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-02,2022,32,8,6017,api_i5,,autor_id
114,23,Deputado Iolando,MDB,1,apresentou uma proposição,2022-02-02,2022,32,8,6017,api_i5,,autor_id
115,18,Deputado Delmasso,,1,apresentou uma proposição,2022-02-01,2022,32,8,6020,api_i5,,autor_id
116,18,Deputado Delmasso,,1,apresentou uma proposição,2022-02-01,2022,32,8,6021,api_i5,,autor_id
117,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6022,api_i5,,autor_id
118,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,6023,api_i5,,autor_id
119,23,Deputado Iolando,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6024,api_i5,,autor_id
120,23,Deputado Iolando,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6033,api_i5,,autor_id
121,23,Deputado Iolando,MDB,1,apresentou uma proposição,2022-02-01,2022,32,8,6035,api_i5,,autor_id
