sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,sigla_numero_ano,sigla,id_tipo_proposicao,ordem_autoria,ementa,etapa,data_leitura
34,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5233,api_i5,,autor_id,5233,IND 8073/2022,IND,,,"Sugere ao Excelentíssimo Senhor Governador do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil – NOVACAP, a poda de árvore na área verde entre os blocos G e I da SHCGN 708 – Asa Norte, Região Administrativa Plano Piloto, RA I.
 
",Apresentação,2022-02-08
35,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5237,api_i5,,autor_id,5237,IND 8075/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, a revitalização do Parque para Recreação Infantil, localizado na SQN 216 – Asa Norte - Região Administrativa do Plano Piloto – RA I.",Apresentação,2022-02-08
36,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id,5241,REQ 3017/2022,REQ,,,Requer a realização de Audiência Pública Remota para debater a invasão de áreas públicas no Parque Ecológico do Areal.,Apresentação,2022-02-01
37,29,Deputado Leandro Grass,,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id,5241,REQ 3017/2022,REQ,,,Requer a realização de Audiência Pública Remota para debater a invasão de áreas públicas no Parque Ecológico do Areal.,Apresentação,2022-02-01
38,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id,5241,REQ 3017/2022,REQ,,,Requer a realização de Audiência Pública Remota para debater a invasão de áreas públicas no Parque Ecológico do Areal.,Apresentação,2022-02-01
39,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,5241,api_i5,,autor_id,5241,REQ 3017/2022,REQ,,,Requer a realização de Audiência Pública Remota para debater a invasão de áreas públicas no Parque Ecológico do Areal.,Apresentação,2022-02-01
40,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-29,2022,32,8,5250,api_i5,,autor_id,5250,IND 8389/2022,IND,,,"Sugere providências ao Excelentíssimo Senhor Governador do Distrito no sentido de enviar à Câmara Legislativa projeto de lei que tenha como objetivo viabilizar alterações na Lei nº 6.720, de 18 de novembro de 2020, que altera a denominação da carreira Gestão Sustentável de Resíduos e a reestrutura. ",Apresentação,2022-03-29
41,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5256,api_i5,,autor_id,5256,IND 8074/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital - NOVACAP, realize a roçagem na ST. J Norte QI 23 AE – Setor industrial de Taguatinga – Região Administrativa de Taguatinga- RA II.",Apresentação,2022-02-08
42,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5257,api_i5,,autor_id,5257,IND 8005/2022,IND,,,"Sugere ao Poder Executivo, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, a revitalização da Quadra Poliesportiva da Quadra 306 Conjunto 03, na Região Administrativa do Recanto das Emas – RA XV.",Apresentação,2022-02-01
43,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5258,api_i5,,autor_id,5258,IND 8100/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, realize a Operação Tapa buraco na QNF 01 – Avenida Senai – Taguatinga Norte, na Região Administrativa de Taguatinga - RA III.",Apresentação,2022-02-09
44,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5261,api_i5,,autor_id,5261,IND 8077/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio do Serviço de Limpeza Urbana – SLU, promova a pintura de todos os meios-fios da CSB 05, na Região Administrativa de Taguatinga – RA III.",Apresentação,2022-02-08
45,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-08,2022,32,8,5262,api_i5,,autor_id,5262,IND 8078/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio do Serviço de Limpeza Urbana – SLU, promova a pintura de todos os meios-fios da Quadra 04 Bloco H do Cruzeiro Velho, na Região Administrativa do Cruzeiro – RA XI.",Apresentação,2022-02-08
46,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-01,2022,32,8,5292,api_i5,,autor_id,5292,PL 2482/2022,PL,,,"Institui e Inclui no calendário oficial de eventos do Distrito Federal o Dia do Profissional de Educação Física- Personal Trainer, a ser comemorado anualmente no dia 29 de agosto.","Apresentação, Disponibilizada(Parecer)",2022-02-01
47,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5300,api_i5,,autor_id,5300,IND 8101/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição da iluminação pública por LED na Quadra 04 conjunto F do P Sul, Região Administrativa Ceilândia – RA IX.",Apresentação,2022-02-09
48,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-02-01,2022,32,8,5324,api_i5,,autor_id,5324,MO 1014/2022,MO,,,"Manifesta votos de louvor às pessoas abaixo descritas, pelos relevantes serviços prestados à população idosa do Distrito Federal.",Apresentação,2022-02-01
49,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5327,api_i5,,autor_id,5327,IND 8102/2022,IND,,,"Sugere ao Governo do Distrito Federal em conjunto com a Companhia Energética de Brasília - CEB Iluminação Pública e Serviços S.A., a manutenção e melhorias da iluminação pública na QNJ 33 de Taguatinga Norte, da Região Administrativa de Taguatinga - RA III.",Apresentação,2022-02-09
50,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-09,2022,32,8,5328,api_i5,,autor_id,5328,IND 8103/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição da iluminação pública por LED nas Quadras 02 e 04 do Cruzeiro Velho, Região Administrativa do Cruzeiro RA- XI.
",Apresentação,2022-02-09
51,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5330,api_i5,,autor_id,5330,IND 8007/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição da iluminação pública por LED na QE 38 Conjunto J – Guará II, Região Administrativa do Guará RA- X.",Apresentação,2022-02-01
52,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5331,api_i5,,autor_id,5331,IND 8008/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital - NOVACAP, em conjunto com a Administração Regional, realize a manutenção do asfalto na QNJ 35 em Taguatinga Norte, Região Administrativa de Taguatinga - RA III.",Apresentação,2022-02-01
53,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5332,api_i5,,autor_id,5332,IND 8009/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital - NOVACAP, em conjunto com a Administração Regional, realize a manutenção do asfalto nas QNJ 37 e QNJ 39 em Taguatinga Norte, Região Administrativa de Taguatinga - RA III.",Apresentação,2022-02-01
54,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5333,api_i5,,autor_id,5333,IND 8010/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital - NOVACAP, em conjunto com a Administração Regional, realize a manutenção do asfalto na SHSN CH 01 Conjunto A Sol Nascente, Região Administrativa da Ceilândia – RA IX.",Apresentação,2022-02-01
55,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5376,api_i5,,autor_id,5376,IND 8011/2022,IND,,,"Sugere providências do Departamento de Trânsito do Distrito Federal- DETRAN/DF, a implantação de quebra-molas no cruzamento da Quadra 4A Conjuntos A e B – Arapoanga, na Região Administrativa de Planaltina – RA VI.",Apresentação,2022-02-01
56,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5397,api_i5,,autor_id,5397,IND 8012/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição de toda Iluminação Pública por LED na SRES Quadra 12 Bloco F, Cruzeiro Velho, Região Administrativa do Cruzeiro, RA -IX.",Apresentação,2022-02-01
57,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5398,api_i5,,autor_id,5398,IND 8013/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio da Companhia Energética de Brasília – CEB, promova a substituição de toda Iluminação Pública por LED na QNM 22 Conjunto K e Conjunto M, Taguatinga Norte, Região Administrativa de Taguatinga, RA -III.",Apresentação,2022-02-01
58,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5399,api_i5,,autor_id,5399,IND 8014/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio da Companhia Urbanizadora da Nova Capital do Brasil - NOVACAP, realize a Operação Tapa buraco no cruzamento do ST. H Norte QNH com a Hélio Prates, Taguatinga Norte, Região Administrativa de Taguatinga - RA III.",Apresentação,2022-02-01
59,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,5407,api_i5,,autor_id,5407,REQ 3016/2022,REQ,,,Requer a realização de audiência pública para debater o porte de armas para atiradores esportivos.,Apresentação,2022-02-01
60,33,Deputado Robério Negreiros,PSD,1,apresentou uma proposição,2022-02-01,2022,32,8,5407,api_i5,,autor_id,5407,REQ 3016/2022,REQ,,,Requer a realização de audiência pública para debater o porte de armas para atiradores esportivos.,Apresentação,2022-02-01
61,34,Deputado Roosevelt Vilela,PL,1,apresentou uma proposição,2022-02-01,2022,32,8,5407,api_i5,,autor_id,5407,REQ 3016/2022,REQ,,,Requer a realização de audiência pública para debater o porte de armas para atiradores esportivos.,Apresentação,2022-02-01
62,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5425,api_i5,,autor_id,5425,IND 8015/2022,IND,,,"Sugere ao Poder Executivo que, por intermédio do Serviço de Limpeza Urbana – SLU, promova a pintura de todos os meios-fios da QI 24 do Setor Industrial de Taguatinga, na Região Administrativa de Taguatinga – RA III.",Apresentação,2022-02-01
63,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5428,api_i5,,autor_id,5428,IND 8016/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio do Serviço de Limpeza Urbana SLU em atuação conjunta com a Administração Regional, realize a troca das lixeiras públicas na SQN 216, Asa Norte, na Região Administrativa do Plano Piloto - RA I.",Apresentação,2022-02-01
64,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5429,api_i5,,autor_id,5429,IND 8017/2022,IND,,,"Sugere ao Poder Executivo do Distrito Federal que, por intermédio do Serviço de Limpeza Urbana SLU em atuação conjunta com a Administração Regional, realize a troca das lixeiras públicas na SQS 214, Asa Sul, na Região Administrativa do Plano Piloto - RA I.",Apresentação,2022-02-01
65,25,Deputado João Cardoso ,AVANTE,1,apresentou uma proposição,2022-03-17,2022,32,8,5439,api_i5,,autor_id,5439,PDL 260/2022,PDL,,,Concede o Título de Cidadã Honorária de Brasília à Senhora MARLUCE GUEDES FERREIRA.,"Sanção Veto ou Promulgação, Retorno(Emenda)",2022-03-17
66,30,Deputado Martins Machado,REPUBLICANOS,1,apresentou uma proposição,2022-03-17,2022,32,8,5439,api_i5,,autor_id,5439,PDL 260/2022,PDL,,,Concede o Título de Cidadã Honorária de Brasília à Senhora MARLUCE GUEDES FERREIRA.,"Sanção Veto ou Promulgação, Retorno(Emenda)",2022-03-17
67,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-17,2022,32,8,5439,api_i5,,autor_id,5439,PDL 260/2022,PDL,,,Concede o Título de Cidadã Honorária de Brasília à Senhora MARLUCE GUEDES FERREIRA.,"Sanção Veto ou Promulgação, Retorno(Emenda)",2022-03-17
68,25,Deputado João Cardoso ,AVANTE,1,apresentou uma proposição,2022-03-17,2022,32,8,5442,api_i5,,autor_id,5442,PDL 261/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor JORGE EDUARDO DEISTER.,"Sanção Veto ou Promulgação, Retorno(Emenda)",2022-03-17
69,30,Deputado Martins Machado,REPUBLICANOS,1,apresentou uma proposição,2022-03-17,2022,32,8,5442,api_i5,,autor_id,5442,PDL 261/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor JORGE EDUARDO DEISTER.,"Sanção Veto ou Promulgação, Retorno(Emenda)",2022-03-17
70,35,Deputado Reginaldo Sardinha,,1,apresentou uma proposição,2022-03-17,2022,32,8,5442,api_i5,,autor_id,5442,PDL 261/2022,PDL,,,Concede o Título de Cidadão Honorário de Brasília ao Senhor JORGE EDUARDO DEISTER.,"Sanção Veto ou Promulgação, Retorno(Emenda)",2022-03-17
71,28,Deputada Júlia Lucy,,1,apresentou uma proposição,2022-02-01,2022,32,8,5625,api_i5,,autor_id,5625,PL 2471/2022,PL,,,"Altera a Lei nº 5.691, 2 de agosto de 2016, que dispõe sobre a regulamentação da prestação do Serviço de Transporte Individual Privado de Passageiros Baseado em Tecnologia de Comunicação em Rede no Distrito Federal e dá outras providências, para estabelecer idade máxima de 10 anos para os veículos que menciona.",Apresentação,2022-02-01
72,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5694,api_i5,,autor_id,5694,PL 2492/2022,PL,,,Dispõe sobre a obrigatoriedade da instalação de totem para carregar celular nos Shopping Centers. ,"Apresentação, Disponibilizada(Parecer)",2022-02-01
73,26,Deputado Jorge Vianna,INVÁLIDO,1,apresentou uma proposição,2022-02-01,2022,32,8,5695,api_i5,,autor_id,5695,IND 8021/2022,IND,,,"Sugere ao Poder Executivo, por intermédio da NOVACAP e da Administração Regional do Guará, a construção de estacionamento na QE 40, AE 6A, Lote 04, localizado no Guará II.",Apresentação,2022-02-01
74,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5708,api_i5,,autor_id,5708,PL 2483/2022,PL,,,"Institui o Dia Municipal do Hoteleiro, a ser comemorado anualmente no dia 9 de novembro.","Apresentação, Retorno(Parecer)",2022-02-01
75,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5711,api_i5,,autor_id,5711,PL 2494/2022,PL,,,"Acrescenta a contagem do nível sérico da Vitamina B12, ao exame de hemograma realizado no âmbito do Distrito Federal. ","Apresentação, Retorno(Parecer)",2022-02-01
76,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5712,api_i5,,autor_id,5712,PL 2484/2022,PL,,,"Dispõe sobre o ""Dia Distrital do Concurseiro"", no âmbito do Distrito Federal, e dá outras providências.","Apresentação, Retorno(Parecer)",2022-02-01
77,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5721,api_i5,,autor_id,5721,PL 2486/2022,PL,,,"Institui a Semana Estadual da Mulher Empreendedora no âmbito do Distrito Federal, e dá outras providências.",Apresentação,2022-02-01
78,27,Deputado José Gomes,,1,apresentou uma proposição,2022-02-01,2022,32,8,5729,api_i5,,autor_id,5729,PL 2503/2022,PL,,,Institui o Dia Distrital de Conscientização e Combate à Gordofobia no âmbito do Distrito Federal.,"Apresentação, Retorno(Parecer)",2022-02-01
79,19,Deputado Eduardo Pedrosa,UNIÃO,1,apresentou uma proposição,2022-02-03,2022,32,8,5740,api_i5,,autor_id,5740,REQ 3062/2022,REQ,,,"Requer a realização de Sessão Solene em ¨Homenagem aos Rotarianos¨, a realizar-se no dia 22 de Fevereiro, às 19h, nesta Casa de Leis.",Apresentação,2022-02-03
