sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
77743,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2024-08-12,2024,34,9,20349,api_i8,,normalizar,20349,128374,GAB DEP MARTINS MACHADO,Aprovado(a),sem_clausula,,parecer_autor
77744,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-08-12,2024,34,9,20350,api_i8,,normalizar,20350,128370,GAB DEP PR DANIEL DE CASTRO,Não apreciado(a),merito_favoravel,"Ante o exposto, e considerando que a concessão do título de Cidadão Benemérito de Brasília ao Senhor Bruno Sartório Silva está em conformidade com as normas regimentais e atende ao interesse público, vota-se, no âmbito da CAS, pela APROVAÇÃO do PDL nº 151/2024, nos termos do art. 65, I, “l” do RICLDF.",parecer_autor
77745,62,Deputado Joaquim Roriz Neto,PL,3,relatou (parecer),2024-10-16,2024,34,9,20357,api_i8,,normalizar,20357,137642,GAB DEP JOAQUIM RORIZ NETO,Aprovado(a),merito_favoravel,"Desse modo, no âmbito da competência desta CDESCTMAT, votamos pela APROVAÇÃO do PL nº 1148, de 2024, na forma do substitutivo (Emenda nº 1).",parecer_autor
77746,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2024-08-13,2024,34,9,20388,api_i8,,normalizar,20388,128464,GAB DEP JOÃO CARDOSO,Aprovado(a),merito_favoravel,"Ante o exposto, vota-se, no âmbito da CAS, pela APROVAÇÃO do PDL nº 153/2024, nos termos do art. 65, I, “l” do RICLDF.",parecer_autor
77747,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-09-24,2024,34,9,20415,api_i8,,normalizar,20415,134084,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por isso, voto pela APROVAÇÃO do Projeto de Lei nº 1.150/2024. DEPUTADO GABRIEL MAGNO Presidente DEPUTADO ricardo vale Relator",parecer_autor
77748,57,Deputado Ricardo Vale,PT,3,relatou (parecer),2024-08-29,2024,34,9,20447,api_i8,,normalizar,20447,129980,GAB DEP RICARDO VALE,Aprovado(a),merito_favoravel,"Por essas razões, no mérito, voto pela APROVAÇÃO do Projeto de Lei nº 1.055/2024.",parecer_autor
77749,59,Deputado Pastor Daniel de Castro,PP,3,relatou (parecer),2024-09-16,2024,34,9,20454,api_i8,,normalizar,20454,132821,GAB DEP PR DANIEL DE CASTRO,Não apreciado(a),merito_favoravel,"Diante do exposto, somos pela APROVAÇÃO do Projeto de Lei 1183/2024 no âmbito desta Comissão.",parecer_autor
77750,60,Deputada Dayse Amarilio,PSB,3,relatou (parecer),2024-12-16,2024,34,9,20459,api_i8,,normalizar,20459,281458,GAB DEP DAYSE AMARILIO,Não apreciado(a),merito_favoravel,"Ante o exposto, no âmbito da Comissão de Educação, Saúde e Cultura, somos pela aprovação, no mérito, do Projeto de Lei nº 1.156, de 2024.",parecer_autor
77751,68,Deputado Gabriel Magno,PT,3,relatou (parecer),2024-11-22,2024,34,9,20460,api_i8,,normalizar,20460,278189,GAB DEP GABRIEL MAGNO,Aprovado(a),merito_favoravel,"Diante do exposto, no âmbito da CTMU, votamos, no mérito, pela aprovação do PL nº 1.158/2024, nos termos do art. 69-D, I, ‘a’, do RICLDF.",parecer_autor
77752,20,Deputado Fábio Felix,PSOL,3,relatou (parecer),2024-10-25,2024,34,9,20480,api_i8,,normalizar,20480,139882,GAB DEP FÁBIO FÉLIX,Aprovado(a),merito_favoravel,"Do exposto, vota-se, no âmbito da CTMU, pela aprovação do PL nº 1162/2024, nos termos das emendas 1, 2, 3 e 4.",parecer_autor
